cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,11.421052631578947,1.3738237958832638e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,11.421052631578947,3.039195382313201e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,11.421052631578947,6.723357536499335e-06,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,11.421052631578947,1.4873521072935119e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,11.421052631578947,3.290344562312671e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,11.421052631578947,7.27895384398316e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,11.421052631578947,0.00016102620275609426,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.40625,0.5,0.5,0.28888888888888886,GTZAN,meansvm,11.421052631578947,0.0003562247890262444,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,11.421052631578947,0.0007880462815669921,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.484375,0.5151515151515151,0.4838709677419355,0.32258064516129037,GTZAN,meansvm,11.421052631578947,0.0017433288221999908,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4921875,0.5151515151515151,0.5,0.32978723404255317,GTZAN,meansvm,11.421052631578947,0.0038566204211634724,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.7421875,0.7901960784313726,0.7088235294117647,0.7320574162679425,GTZAN,meansvm,11.421052631578947,0.008531678524172814,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.796875,0.746031746031746,0.8611111111111112,0.8089285714285714,GTZAN,meansvm,11.421052631578947,0.018873918221350997,,RhythmData,0.95,0.9,1.0,0.9523809523809523
