cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1,is_normalized
1.0,0.6,0.3715504978662873,0.4372307692307692,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 4.893900918477499e-10}",0.05,0.09523809523809523,0.525,1
1.0,0.6,0.3100062629474394,0.32061538461538464,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.0826367338740564e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.38236130867709817,0.4612307692307692,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 2.395026619987491e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.49230769230769234,0.3674569306148253,0.49169230769230765,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 5.298316906283702e-09}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.23258687258687258,0.4304615384615385,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.1721022975334793e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.35555555555555557,0.4067692307692307,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 2.592943797404667e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3749644381223328,0.44584615384615384,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 5.736152510448681e-08}",0.35,0.5185185185185185,0.675,1
1.0,0.4,0.2452347083926031,0.4535384615384615,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1.2689610031679235e-07}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.3595204226783174,0.41415384615384615,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 2.807216203941181e-07}",0.35,0.5185185185185185,0.675,1
1.0,0.6,0.35442036463708293,0.40615384615384614,GTZAN,0.4,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 6.210169418915616e-07}",0.35,0.5185185185185185,0.675,1
